Daily Precipitation,,,
Date,Value,Time Period,Climate Model
04-02-1986,0.34,1986-2005,CanESM2
05-02-1986,0,1986-2005,CanESM2
06-02-1986,1.695,1986-2005,CanESM2
07-02-1986,0,1986-2005,CanESM2
08-02-1986,2.42,1986-2005,CanESM2
09-02-1986,0.559,1986-2005,CanESM2
10-02-1986,1.906,1986-2005,CanESM2
11-02-1986,0,1986-2005,CanESM2
12-02-1986,0.002,1986-2005,CanESM2
13-02-1986,0,1986-2005,CanESM2
14-02-1986,0.142,1986-2005,CanESM2
15-02-1986,0.271,1986-2005,CanESM2
16-02-1986,0.461,1986-2005,CanESM2
17-02-1986,0.144,1986-2005,CanESM2
18-02-1986,0.25,1986-2005,CanESM2
19-02-1986,0.328,1986-2005,CanESM2
20-02-1986,0.021,1986-2005,CanESM2
21-02-1986,2.979,1986-2005,CanESM2
22-02-1986,5.697,1986-2005,CanESM2
23-02-1986,0.945,1986-2005,CanESM2
24-02-1986,5.515,1986-2005,CanESM2
25-02-1986,0.094,1986-2005,CanESM2
26-02-1986,1.308,1986-2005,CanESM2
27-02-1986,0.419,1986-2005,CanESM2
28-02-1986,3.152,1986-2005,CanESM2
01-03-1986,0.339,1986-2005,CanESM2
02-03-1986,0.056,1986-2005,CanESM2
03-03-1986,5.294,1986-2005,CanESM2
04-03-1986,4.288,1986-2005,CanESM2
05-03-1986,1.165,1986-2005,CanESM2
06-03-1986,11.871,1986-2005,CanESM2
07-03-1986,8.535,1986-2005,CanESM2
08-03-1986,23.05,1986-2005,CanESM2
09-03-1986,0.573,1986-2005,CanESM2
10-03-1986,1.723,1986-2005,CanESM2
11-03-1986,0.108,1986-2005,CanESM2
12-03-1986,2.319,1986-2005,CanESM2
13-03-1986,0.811,1986-2005,CanESM2
14-03-1986,0.088,1986-2005,CanESM2
15-03-1986,0.004,1986-2005,CanESM2
16-03-1986,1.197,1986-2005,CanESM2
17-03-1986,7.814,1986-2005,CanESM2
18-03-1986,11.79,1986-2005,CanESM2
19-03-1986,2.295,1986-2005,CanESM2
20-03-1986,0.857,1986-2005,CanESM2
21-03-1986,0.033,1986-2005,CanESM2
22-03-1986,9.402,1986-2005,CanESM2
23-03-1986,27.95,1986-2005,CanESM2
24-03-1986,0.237,1986-2005,CanESM2
25-03-1986,0.071,1986-2005,CanESM2
26-03-1986,1.81,1986-2005,CanESM2
27-03-1986,2.641,1986-2005,CanESM2
28-03-1986,0.048,1986-2005,CanESM2
29-03-1986,0,1986-2005,CanESM2
30-03-1986,12.112,1986-2005,CanESM2
31-03-1986,1.694,1986-2005,CanESM2
01-04-1986,0.423,1986-2005,CanESM2
02-04-1986,4.236,1986-2005,CanESM2
03-04-1986,0.002,1986-2005,CanESM2
04-04-1986,0.067,1986-2005,CanESM2
05-04-1986,4.962,1986-2005,CanESM2
06-04-1986,0.33,1986-2005,CanESM2
07-04-1986,1.057,1986-2005,CanESM2
08-04-1986,9.779,1986-2005,CanESM2
09-04-1986,0,1986-2005,CanESM2
10-04-1986,0,1986-2005,CanESM2
11-04-1986,0.005,1986-2005,CanESM2
12-04-1986,0.054,1986-2005,CanESM2
13-04-1986,9.716,1986-2005,CanESM2
14-04-1986,1.914,1986-2005,CanESM2
15-04-1986,0.564,1986-2005,CanESM2
16-04-1986,0.256,1986-2005,CanESM2
17-04-1986,0.035,1986-2005,CanESM2
18-04-1986,3.619,1986-2005,CanESM2
19-04-1986,0,1986-2005,CanESM2
20-04-1986,0.019,1986-2005,CanESM2
21-04-1986,0.443,1986-2005,CanESM2
22-04-1986,3.741,1986-2005,CanESM2
23-04-1986,0,1986-2005,CanESM2
24-04-1986,0,1986-2005,CanESM2
25-04-1986,0,1986-2005,CanESM2
26-04-1986,0.079,1986-2005,CanESM2
27-04-1986,0.511,1986-2005,CanESM2
28-04-1986,0.348,1986-2005,CanESM2
29-04-1986,0.816,1986-2005,CanESM2
30-04-1986,0.004,1986-2005,CanESM2
01-05-1986,21.262,1986-2005,CanESM2
02-05-1986,3.289,1986-2005,CanESM2
03-05-1986,1.562,1986-2005,CanESM2
04-05-1986,0.041,1986-2005,CanESM2
05-05-1986,0,1986-2005,CanESM2
06-05-1986,0,1986-2005,CanESM2
07-05-1986,0,1986-2005,CanESM2
08-05-1986,0.242,1986-2005,CanESM2
09-05-1986,0.731,1986-2005,CanESM2
10-05-1986,0.225,1986-2005,CanESM2
11-05-1986,0.102,1986-2005,CanESM2
12-05-1986,0,1986-2005,CanESM2
13-05-1986,0.907,1986-2005,CanESM2
14-05-1986,0,1986-2005,CanESM2
15-05-1986,0,1986-2005,CanESM2
16-05-1986,0,1986-2005,CanESM2
17-05-1986,0.011,1986-2005,CanESM2
18-05-1986,0,1986-2005,CanESM2
19-05-1986,0,1986-2005,CanESM2
20-05-1986,0.124,1986-2005,CanESM2
21-05-1986,0.171,1986-2005,CanESM2
22-05-1986,0.008,1986-2005,CanESM2
23-05-1986,2.637,1986-2005,CanESM2
24-05-1986,0.849,1986-2005,CanESM2
25-05-1986,0.313,1986-2005,CanESM2
26-05-1986,0,1986-2005,CanESM2
27-05-1986,0,1986-2005,CanESM2
28-05-1986,0.536,1986-2005,CanESM2
29-05-1986,0,1986-2005,CanESM2
30-05-1986,0.013,1986-2005,CanESM2
31-05-1986,0,1986-2005,CanESM2
01-06-1986,0.706,1986-2005,CanESM2
02-06-1986,0.006,1986-2005,CanESM2
03-06-1986,0,1986-2005,CanESM2
04-06-1986,0.034,1986-2005,CanESM2
05-06-1986,0,1986-2005,CanESM2
06-06-1986,0,1986-2005,CanESM2
07-06-1986,0,1986-2005,CanESM2
08-06-1986,0,1986-2005,CanESM2
09-06-1986,0,1986-2005,CanESM2
10-06-1986,0,1986-2005,CanESM2
11-06-1986,0,1986-2005,CanESM2
12-06-1986,0.005,1986-2005,CanESM2
13-06-1986,0.168,1986-2005,CanESM2
14-06-1986,0,1986-2005,CanESM2
15-06-1986,0,1986-2005,CanESM2
16-06-1986,0.051,1986-2005,CanESM2
17-06-1986,0,1986-2005,CanESM2
18-06-1986,0,1986-2005,CanESM2
19-06-1986,0,1986-2005,CanESM2
20-06-1986,0,1986-2005,CanESM2
21-06-1986,0,1986-2005,CanESM2
22-06-1986,0,1986-2005,CanESM2
23-06-1986,0,1986-2005,CanESM2
24-06-1986,0,1986-2005,CanESM2
25-06-1986,0,1986-2005,CanESM2
26-06-1986,0,1986-2005,CanESM2
27-06-1986,0,1986-2005,CanESM2
28-06-1986,0,1986-2005,CanESM2
29-06-1986,0,1986-2005,CanESM2
30-06-1986,0,1986-2005,CanESM2
01-07-1986,0,1986-2005,CanESM2
02-07-1986,0,1986-2005,CanESM2
03-07-1986,0,1986-2005,CanESM2
04-07-1986,0,1986-2005,CanESM2
05-07-1986,0,1986-2005,CanESM2
06-07-1986,0,1986-2005,CanESM2
07-07-1986,0,1986-2005,CanESM2
08-07-1986,0,1986-2005,CanESM2
09-07-1986,0,1986-2005,CanESM2
10-07-1986,0.057,1986-2005,CanESM2
11-07-1986,0,1986-2005,CanESM2
12-07-1986,0,1986-2005,CanESM2
13-07-1986,0.74,1986-2005,CanESM2
14-07-1986,0,1986-2005,CanESM2
15-07-1986,0.59,1986-2005,CanESM2
16-07-1986,0,1986-2005,CanESM2
17-07-1986,0,1986-2005,CanESM2
18-07-1986,0.011,1986-2005,CanESM2
19-07-1986,0.013,1986-2005,CanESM2
20-07-1986,0.164,1986-2005,CanESM2
21-07-1986,0.263,1986-2005,CanESM2
22-07-1986,1.46,1986-2005,CanESM2
23-07-1986,0,1986-2005,CanESM2
24-07-1986,0.153,1986-2005,CanESM2
25-07-1986,0.242,1986-2005,CanESM2
26-07-1986,3.241,1986-2005,CanESM2
27-07-1986,0.663,1986-2005,CanESM2
28-07-1986,0,1986-2005,CanESM2
29-07-1986,1.02,1986-2005,CanESM2
30-07-1986,0,1986-2005,CanESM2
31-07-1986,0.334,1986-2005,CanESM2
01-08-1986,0.031,1986-2005,CanESM2
02-08-1986,0,1986-2005,CanESM2
03-08-1986,0,1986-2005,CanESM2
04-08-1986,0,1986-2005,CanESM2
05-08-1986,0,1986-2005,CanESM2
06-08-1986,0,1986-2005,CanESM2
07-08-1986,0,1986-2005,CanESM2
08-08-1986,0,1986-2005,CanESM2
09-08-1986,0,1986-2005,CanESM2
10-08-1986,0,1986-2005,CanESM2
11-08-1986,0,1986-2005,CanESM2
12-08-1986,0,1986-2005,CanESM2
13-08-1986,0,1986-2005,CanESM2
14-08-1986,0,1986-2005,CanESM2
15-08-1986,0,1986-2005,CanESM2
16-08-1986,0,1986-2005,CanESM2
17-08-1986,0,1986-2005,CanESM2
18-08-1986,0,1986-2005,CanESM2
19-08-1986,0,1986-2005,CanESM2
20-08-1986,0,1986-2005,CanESM2
21-08-1986,0,1986-2005,CanESM2
22-08-1986,0,1986-2005,CanESM2
23-08-1986,0,1986-2005,CanESM2
24-08-1986,4.795,1986-2005,CanESM2
25-08-1986,0.263,1986-2005,CanESM2
26-08-1986,0,1986-2005,CanESM2
27-08-1986,0,1986-2005,CanESM2
28-08-1986,3.182,1986-2005,CanESM2
29-08-1986,0,1986-2005,CanESM2
30-08-1986,0,1986-2005,CanESM2
31-08-1986,11.258,1986-2005,CanESM2
01-09-1986,10.946,1986-2005,CanESM2
02-09-1986,0.207,1986-2005,CanESM2
03-09-1986,1.023,1986-2005,CanESM2
04-09-1986,0,1986-2005,CanESM2
05-09-1986,0,1986-2005,CanESM2
06-09-1986,0,1986-2005,CanESM2
07-09-1986,0.913,1986-2005,CanESM2
08-09-1986,0,1986-2005,CanESM2
09-09-1986,0,1986-2005,CanESM2
10-09-1986,0.118,1986-2005,CanESM2
11-09-1986,0,1986-2005,CanESM2
12-09-1986,0,1986-2005,CanESM2
13-09-1986,0,1986-2005,CanESM2
14-09-1986,0,1986-2005,CanESM2
15-09-1986,0,1986-2005,CanESM2
16-09-1986,0,1986-2005,CanESM2
17-09-1986,0,1986-2005,CanESM2
18-09-1986,0,1986-2005,CanESM2
19-09-1986,0,1986-2005,CanESM2
20-09-1986,6.509,1986-2005,CanESM2
21-09-1986,2.764,1986-2005,CanESM2
22-09-1986,0.133,1986-2005,CanESM2
23-09-1986,0.001,1986-2005,CanESM2
24-09-1986,0,1986-2005,CanESM2
25-09-1986,1.983,1986-2005,CanESM2
26-09-1986,1.75,1986-2005,CanESM2
27-09-1986,0,1986-2005,CanESM2
28-09-1986,1.555,1986-2005,CanESM2
29-09-1986,0,1986-2005,CanESM2
30-09-1986,0.409,1986-2005,CanESM2
01-10-1986,0,1986-2005,CanESM2
02-10-1986,0,1986-2005,CanESM2
03-10-1986,0,1986-2005,CanESM2
04-10-1986,0,1986-2005,CanESM2
05-10-1986,0,1986-2005,CanESM2
06-10-1986,0,1986-2005,CanESM2
07-10-1986,0.833,1986-2005,CanESM2
08-10-1986,0,1986-2005,CanESM2
09-10-1986,0,1986-2005,CanESM2
10-10-1986,0,1986-2005,CanESM2
11-10-1986,0,1986-2005,CanESM2
12-10-1986,0,1986-2005,CanESM2
13-10-1986,0,1986-2005,CanESM2
14-10-1986,0.04,1986-2005,CanESM2
15-10-1986,0,1986-2005,CanESM2
16-10-1986,0,1986-2005,CanESM2
17-10-1986,0,1986-2005,CanESM2
18-10-1986,0,1986-2005,CanESM2
19-10-1986,0,1986-2005,CanESM2
20-10-1986,0,1986-2005,CanESM2
21-10-1986,0,1986-2005,CanESM2
22-10-1986,0,1986-2005,CanESM2
23-10-1986,0,1986-2005,CanESM2
24-10-1986,0,1986-2005,CanESM2
25-10-1986,0.011,1986-2005,CanESM2
26-10-1986,2.814,1986-2005,CanESM2
27-10-1986,0,1986-2005,CanESM2
28-10-1986,0,1986-2005,CanESM2
29-10-1986,0,1986-2005,CanESM2
30-10-1986,0,1986-2005,CanESM2
31-10-1986,1.523,1986-2005,CanESM2
01-11-1986,17.735,1986-2005,CanESM2
02-11-1986,4.946,1986-2005,CanESM2
03-11-1986,15.948,1986-2005,CanESM2
04-11-1986,2.597,1986-2005,CanESM2
05-11-1986,1.067,1986-2005,CanESM2
06-11-1986,1.38,1986-2005,CanESM2
07-11-1986,0.433,1986-2005,CanESM2
08-11-1986,0,1986-2005,CanESM2
09-11-1986,0,1986-2005,CanESM2
10-11-1986,28.382,1986-2005,CanESM2
11-11-1986,8.191,1986-2005,CanESM2
12-11-1986,3.998,1986-2005,CanESM2
13-11-1986,6.461,1986-2005,CanESM2
14-11-1986,0.331,1986-2005,CanESM2
15-11-1986,0.52,1986-2005,CanESM2
16-11-1986,4.178,1986-2005,CanESM2
17-11-1986,1.143,1986-2005,CanESM2
18-11-1986,4.992,1986-2005,CanESM2
19-11-1986,0.069,1986-2005,CanESM2
20-11-1986,1.006,1986-2005,CanESM2
21-11-1986,0.062,1986-2005,CanESM2
22-11-1986,0.21,1986-2005,CanESM2
23-11-1986,25.248,1986-2005,CanESM2
24-11-1986,6.725,1986-2005,CanESM2
25-11-1986,0,1986-2005,CanESM2
26-11-1986,0.155,1986-2005,CanESM2
27-11-1986,1.592,1986-2005,CanESM2
28-11-1986,2.647,1986-2005,CanESM2
29-11-1986,4.484,1986-2005,CanESM2
30-11-1986,0.046,1986-2005,CanESM2
01-12-1986,0.191,1986-2005,CanESM2
02-12-1986,0.111,1986-2005,CanESM2
03-12-1986,0.264,1986-2005,CanESM2
04-12-1986,0.759,1986-2005,CanESM2
05-12-1986,3.475,1986-2005,CanESM2
06-12-1986,4.226,1986-2005,CanESM2
07-12-1986,5.975,1986-2005,CanESM2
08-12-1986,0.801,1986-2005,CanESM2
09-12-1986,0.027,1986-2005,CanESM2
10-12-1986,2.911,1986-2005,CanESM2
11-12-1986,1.723,1986-2005,CanESM2
12-12-1986,2.742,1986-2005,CanESM2
13-12-1986,0.021,1986-2005,CanESM2
14-12-1986,1.286,1986-2005,CanESM2
15-12-1986,1.433,1986-2005,CanESM2
16-12-1986,1.819,1986-2005,CanESM2
17-12-1986,1.174,1986-2005,CanESM2
18-12-1986,2.466,1986-2005,CanESM2
19-12-1986,0.946,1986-2005,CanESM2
20-12-1986,2.584,1986-2005,CanESM2
21-12-1986,0.475,1986-2005,CanESM2
22-12-1986,1.839,1986-2005,CanESM2
23-12-1986,0.047,1986-2005,CanESM2
24-12-1986,0.001,1986-2005,CanESM2
25-12-1986,0.024,1986-2005,CanESM2
26-12-1986,0,1986-2005,CanESM2
27-12-1986,13.133,1986-2005,CanESM2
28-12-1986,1.373,1986-2005,CanESM2
29-12-1986,0.002,1986-2005,CanESM2
30-12-1986,1.106,1986-2005,CanESM2
31-12-1986,0.44,1986-2005,CanESM2
01-01-1987,0.076,1986-2005,CanESM2
02-01-1987,6.845,1986-2005,CanESM2
03-01-1987,2.487,1986-2005,CanESM2
04-01-1987,0,1986-2005,CanESM2
05-01-1987,0,1986-2005,CanESM2
06-01-1987,0.003,1986-2005,CanESM2
07-01-1987,1.715,1986-2005,CanESM2
08-01-1987,0.906,1986-2005,CanESM2
09-01-1987,0,1986-2005,CanESM2
10-01-1987,4.034,1986-2005,CanESM2
11-01-1987,30.8,1986-2005,CanESM2
12-01-1987,0.18,1986-2005,CanESM2
13-01-1987,0.504,1986-2005,CanESM2
14-01-1987,0.013,1986-2005,CanESM2
15-01-1987,0.132,1986-2005,CanESM2
16-01-1987,7.761,1986-2005,CanESM2
17-01-1987,0.413,1986-2005,CanESM2
18-01-1987,3.222,1986-2005,CanESM2
19-01-1987,7.828,1986-2005,CanESM2
20-01-1987,0.177,1986-2005,CanESM2
21-01-1987,1.193,1986-2005,CanESM2
22-01-1987,0.07,1986-2005,CanESM2
23-01-1987,0.009,1986-2005,CanESM2
24-01-1987,0.012,1986-2005,CanESM2
25-01-1987,0,1986-2005,CanESM2
26-01-1987,0,1986-2005,CanESM2
27-01-1987,0,1986-2005,CanESM2
28-01-1987,0.008,1986-2005,CanESM2
29-01-1987,0.013,1986-2005,CanESM2
30-01-1987,0,1986-2005,CanESM2
31-01-1987,0,1986-2005,CanESM2
01-02-1987,0,1986-2005,CanESM2
02-02-1987,0.17,1986-2005,CanESM2
03-02-1987,0.619,1986-2005,CanESM2
04-02-1987,0.008,1986-2005,CanESM2
05-02-1987,1.005,1986-2005,CanESM2
06-02-1987,0.058,1986-2005,CanESM2
07-02-1987,0.045,1986-2005,CanESM2
08-02-1987,0,1986-2005,CanESM2
09-02-1987,14.106,1986-2005,CanESM2
10-02-1987,0.008,1986-2005,CanESM2
11-02-1987,0.017,1986-2005,CanESM2
12-02-1987,0,1986-2005,CanESM2
13-02-1987,0.002,1986-2005,CanESM2
14-02-1987,0.539,1986-2005,CanESM2
15-02-1987,0.064,1986-2005,CanESM2
16-02-1987,0.182,1986-2005,CanESM2
17-02-1987,0,1986-2005,CanESM2
18-02-1987,0,1986-2005,CanESM2
19-02-1987,0,1986-2005,CanESM2
20-02-1987,0,1986-2005,CanESM2
21-02-1987,36.448,1986-2005,CanESM2
22-02-1987,2.412,1986-2005,CanESM2
23-02-1987,1.876,1986-2005,CanESM2
24-02-1987,0.545,1986-2005,CanESM2
25-02-1987,0.521,1986-2005,CanESM2
26-02-1987,0.756,1986-2005,CanESM2
27-02-1987,0.636,1986-2005,CanESM2
28-02-1987,1.138,1986-2005,CanESM2
01-03-1987,0.681,1986-2005,CanESM2
02-03-1987,0.804,1986-2005,CanESM2
03-03-1987,0.259,1986-2005,CanESM2
04-03-1987,0,1986-2005,CanESM2
05-03-1987,5.025,1986-2005,CanESM2
06-03-1987,1.024,1986-2005,CanESM2
07-03-1987,0.213,1986-2005,CanESM2
08-03-1987,0.345,1986-2005,CanESM2
09-03-1987,0,1986-2005,CanESM2
10-03-1987,0.416,1986-2005,CanESM2
11-03-1987,0,1986-2005,CanESM2
12-03-1987,0.266,1986-2005,CanESM2
13-03-1987,0,1986-2005,CanESM2
14-03-1987,0,1986-2005,CanESM2
15-03-1987,0.278,1986-2005,CanESM2
16-03-1987,7.45,1986-2005,CanESM2
17-03-1987,1.861,1986-2005,CanESM2
18-03-1987,0.116,1986-2005,CanESM2
19-03-1987,0,1986-2005,CanESM2
20-03-1987,1.508,1986-2005,CanESM2
21-03-1987,1.541,1986-2005,CanESM2
22-03-1987,0.043,1986-2005,CanESM2
23-03-1987,0,1986-2005,CanESM2
24-03-1987,0,1986-2005,CanESM2
25-03-1987,0.002,1986-2005,CanESM2
26-03-1987,0,1986-2005,CanESM2
27-03-1987,3.812,1986-2005,CanESM2
28-03-1987,0,1986-2005,CanESM2
29-03-1987,6.17,1986-2005,CanESM2
30-03-1987,1.617,1986-2005,CanESM2
31-03-1987,1.182,1986-2005,CanESM2
01-04-1987,0.412,1986-2005,CanESM2
02-04-1987,1.521,1986-2005,CanESM2
03-04-1987,0.024,1986-2005,CanESM2
04-04-1987,0,1986-2005,CanESM2
05-04-1987,6.906,1986-2005,CanESM2
06-04-1987,0.176,1986-2005,CanESM2
07-04-1987,0.379,1986-2005,CanESM2
08-04-1987,0,1986-2005,CanESM2
09-04-1987,5.692,1986-2005,CanESM2
10-04-1987,14.996,1986-2005,CanESM2
11-04-1987,1.54,1986-2005,CanESM2
12-04-1987,0,1986-2005,CanESM2
13-04-1987,0.612,1986-2005,CanESM2
14-04-1987,9.254,1986-2005,CanESM2
15-04-1987,4.855,1986-2005,CanESM2
16-04-1987,0.147,1986-2005,CanESM2
17-04-1987,0.226,1986-2005,CanESM2
18-04-1987,0.02,1986-2005,CanESM2
19-04-1987,0,1986-2005,CanESM2
20-04-1987,0,1986-2005,CanESM2
21-04-1987,0,1986-2005,CanESM2
22-04-1987,0.467,1986-2005,CanESM2
23-04-1987,0.078,1986-2005,CanESM2
24-04-1987,0.169,1986-2005,CanESM2
25-04-1987,1.219,1986-2005,CanESM2
26-04-1987,0.175,1986-2005,CanESM2
27-04-1987,0.155,1986-2005,CanESM2
28-04-1987,2.2,1986-2005,CanESM2
29-04-1987,0.003,1986-2005,CanESM2
30-04-1987,0,1986-2005,CanESM2
01-05-1987,0.426,1986-2005,CanESM2
02-05-1987,0.029,1986-2005,CanESM2
03-05-1987,0.002,1986-2005,CanESM2
04-05-1987,0,1986-2005,CanESM2
05-05-1987,0.046,1986-2005,CanESM2
06-05-1987,0,1986-2005,CanESM2
07-05-1987,0.008,1986-2005,CanESM2
08-05-1987,0.038,1986-2005,CanESM2
09-05-1987,0.711,1986-2005,CanESM2
10-05-1987,4.063,1986-2005,CanESM2
11-05-1987,5.303,1986-2005,CanESM2
12-05-1987,4.616,1986-2005,CanESM2
13-05-1987,2.292,1986-2005,CanESM2
14-05-1987,1.074,1986-2005,CanESM2
15-05-1987,0.057,1986-2005,CanESM2
16-05-1987,0,1986-2005,CanESM2
17-05-1987,0,1986-2005,CanESM2
18-05-1987,0,1986-2005,CanESM2
19-05-1987,0.033,1986-2005,CanESM2
20-05-1987,0,1986-2005,CanESM2
21-05-1987,0.613,1986-2005,CanESM2
22-05-1987,0,1986-2005,CanESM2
23-05-1987,0,1986-2005,CanESM2
24-05-1987,0,1986-2005,CanESM2
25-05-1987,0,1986-2005,CanESM2
26-05-1987,15.251,1986-2005,CanESM2
27-05-1987,0.024,1986-2005,CanESM2
28-05-1987,0.056,1986-2005,CanESM2
29-05-1987,0,1986-2005,CanESM2
30-05-1987,0,1986-2005,CanESM2
31-05-1987,0,1986-2005,CanESM2
01-06-1987,0,1986-2005,CanESM2
02-06-1987,0.045,1986-2005,CanESM2
03-06-1987,0.489,1986-2005,CanESM2
04-06-1987,0,1986-2005,CanESM2
05-06-1987,0,1986-2005,CanESM2
06-06-1987,0,1986-2005,CanESM2
07-06-1987,0,1986-2005,CanESM2
08-06-1987,0,1986-2005,CanESM2
09-06-1987,0.027,1986-2005,CanESM2
10-06-1987,0.216,1986-2005,CanESM2
11-06-1987,0.041,1986-2005,CanESM2
12-06-1987,0,1986-2005,CanESM2
13-06-1987,0,1986-2005,CanESM2
14-06-1987,0,1986-2005,CanESM2
15-06-1987,0,1986-2005,CanESM2
16-06-1987,0,1986-2005,CanESM2
17-06-1987,0,1986-2005,CanESM2
18-06-1987,0,1986-2005,CanESM2
19-06-1987,0,1986-2005,CanESM2
20-06-1987,0,1986-2005,CanESM2
21-06-1987,0.069,1986-2005,CanESM2
22-06-1987,0.438,1986-2005,CanESM2
23-06-1987,0.005,1986-2005,CanESM2
24-06-1987,0,1986-2005,CanESM2
25-06-1987,0,1986-2005,CanESM2
26-06-1987,0.002,1986-2005,CanESM2
27-06-1987,0.11,1986-2005,CanESM2
28-06-1987,0,1986-2005,CanESM2
29-06-1987,32.028,1986-2005,CanESM2
30-06-1987,0.04,1986-2005,CanESM2
01-07-1987,0,1986-2005,CanESM2
02-07-1987,0,1986-2005,CanESM2
03-07-1987,0,1986-2005,CanESM2
04-07-1987,0,1986-2005,CanESM2
05-07-1987,0,1986-2005,CanESM2
06-07-1987,0,1986-2005,CanESM2
07-07-1987,0,1986-2005,CanESM2
08-07-1987,0.143,1986-2005,CanESM2
09-07-1987,0.014,1986-2005,CanESM2
10-07-1987,0,1986-2005,CanESM2
11-07-1987,0,1986-2005,CanESM2
12-07-1987,0,1986-2005,CanESM2
13-07-1987,0,1986-2005,CanESM2
14-07-1987,0,1986-2005,CanESM2
15-07-1987,0,1986-2005,CanESM2
16-07-1987,0,1986-2005,CanESM2
17-07-1987,1.12,1986-2005,CanESM2
18-07-1987,0.007,1986-2005,CanESM2
19-07-1987,0,1986-2005,CanESM2
20-07-1987,0.183,1986-2005,CanESM2
21-07-1987,0,1986-2005,CanESM2
22-07-1987,0,1986-2005,CanESM2
23-07-1987,0,1986-2005,CanESM2
24-07-1987,0,1986-2005,CanESM2
25-07-1987,0,1986-2005,CanESM2
26-07-1987,0,1986-2005,CanESM2
27-07-1987,0,1986-2005,CanESM2
28-07-1987,0,1986-2005,CanESM2
29-07-1987,0,1986-2005,CanESM2
30-07-1987,0,1986-2005,CanESM2
31-07-1987,0,1986-2005,CanESM2
01-08-1987,0.132,1986-2005,CanESM2
02-08-1987,1.649,1986-2005,CanESM2
03-08-1987,0,1986-2005,CanESM2
04-08-1987,0,1986-2005,CanESM2
05-08-1987,1.012,1986-2005,CanESM2
06-08-1987,0,1986-2005,CanESM2
07-08-1987,0,1986-2005,CanESM2
08-08-1987,0,1986-2005,CanESM2
09-08-1987,0,1986-2005,CanESM2
10-08-1987,0,1986-2005,CanESM2
11-08-1987,0,1986-2005,CanESM2
12-08-1987,0,1986-2005,CanESM2
13-08-1987,0,1986-2005,CanESM2
14-08-1987,0,1986-2005,CanESM2
15-08-1987,0.267,1986-2005,CanESM2
16-08-1987,0,1986-2005,CanESM2
17-08-1987,0,1986-2005,CanESM2
18-08-1987,0,1986-2005,CanESM2
19-08-1987,2.492,1986-2005,CanESM2
